Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-11-01,06:00,November,Winter,Flat,77,89.4,25.48,27.71,82.47,0.13,65.97,0.11,7.31,0.67
2024-11-01,06:15,November,Winter,Flat,77,89.4,25.48,27.71,82.47,0.13,65.97,0.11,7.31,0.67
2024-11-01,06:30,November,Winter,Flat,77,89.4,25.48,27.71,82.47,0.13,65.97,0.11,7.31,0.67
2024-11-01,06:45,November,Winter,Flat,77,89.4,25.48,27.71,82.47,0.13,65.97,0.11,7.31,0.67
2024-11-01,07:00,November,Winter,Flat,77,271.75,26.43,33.22,80.72,0.4,64.58,0.34,21.87,0.67
2024-11-01,07:15,November,Winter,Flat,77,271.75,26.43,33.22,80.72,0.4,64.58,0.34,21.87,0.67
2024-11-01,07:30,November,Winter,Flat,77,271.75,26.43,33.22,80.72,0.4,64.58,0.34,21.87,0.67
2024-11-01,07:45,November,Winter,Flat,77,271.75,26.43,33.22,80.72,0.4,64.58,0.34,21.87,0.67
2024-11-01,08:00,November,Winter,Flat,77,483.45,27.71,39.8,78.64,0.72,62.91,0.61,38.15,0.67
2024-11-01,08:15,November,Winter,Flat,77,483.45,27.71,39.8,78.64,0.72,62.91,0.61,38.15,0.67
2024-11-01,08:30,November,Winter,Flat,77,483.45,27.71,39.8,78.64,0.72,62.91,0.61,38.15,0.67
2024-11-01,08:45,November,Winter,Flat,77,483.45,27.71,39.8,78.64,0.72,62.91,0.61,38.15,0.67
2024-11-01,09:00,November,Winter,Flat,77,655.88,29.1,45.5,76.84,0.99,61.47,0.83,50.86,0.67
2024-11-01,09:15,November,Winter,Flat,77,655.88,29.1,45.5,76.84,0.99,61.47,0.83,50.86,0.67
2024-11-01,09:30,November,Winter,Flat,77,655.88,29.1,45.5,76.84,0.99,61.47,0.83,50.86,0.67
2024-11-01,09:45,November,Winter,Flat,77,655.88,29.1,45.5,76.84,0.99,61.47,0.83,50.86,0.67
2024-11-01,10:00,November,Winter,Flat,77,759.58,30.32,49.31,75.63,1.15,60.5,0.96,58.19,0.67
2024-11-01,10:15,November,Winter,Flat,77,759.58,30.32,49.31,75.63,1.15,60.5,0.96,58.19,0.67
2024-11-01,10:30,November,Winter,Flat,77,759.58,30.32,49.31,75.63,1.15,60.5,0.96,58.19,0.67
2024-11-01,10:45,November,Winter,Flat,77,759.58,30.32,49.31,75.63,1.15,60.5,0.96,58.19,0.67
2024-11-01,11:00,November,Winter,Flat,77,753.8,31.22,50.06,75.39,1.14,60.31,0.96,57.61,0.67
2024-11-01,11:15,November,Winter,Flat,77,753.8,31.22,50.06,75.39,1.14,60.31,0.96,57.61,0.67
2024-11-01,11:30,November,Winter,Flat,77,753.8,31.22,50.06,75.39,1.14,60.31,0.96,57.61,0.67
2024-11-01,11:45,November,Winter,Flat,77,753.8,31.22,50.06,75.39,1.14,60.31,0.96,57.61,0.67
2024-11-01,12:00,November,Winter,Flat,77,654.4,31.7,48.06,76.03,0.99,60.82,0.83,50.33,0.67
2024-11-01,12:15,November,Winter,Flat,77,654.4,31.7,48.06,76.03,0.99,60.82,0.83,50.33,0.67
2024-11-01,12:30,November,Winter,Flat,77,654.4,31.7,48.06,76.03,0.99,60.82,0.83,50.33,0.67
2024-11-01,12:45,November,Winter,Flat,77,654.4,31.7,48.06,76.03,0.99,60.82,0.83,50.33,0.67
2024-11-01,13:00,November,Winter,Flat,77,428.08,31.83,42.53,77.78,0.64,62.22,0.54,33.5,0.67
2024-11-01,13:15,November,Winter,Flat,77,428.08,31.83,42.53,77.78,0.64,62.22,0.54,33.5,0.67
2024-11-01,13:30,November,Winter,Flat,77,428.08,31.83,42.53,77.78,0.64,62.22,0.54,33.5,0.67
2024-11-01,13:45,November,Winter,Flat,77,428.08,31.83,42.53,77.78,0.64,62.22,0.54,33.5,0.67
2024-11-01,14:00,November,Winter,Flat,77,274.9,31.47,38.34,79.1,0.41,63.28,0.34,21.79,0.67
2024-11-01,14:15,November,Winter,Flat,77,274.9,31.47,38.34,79.1,0.41,63.28,0.34,21.79,0.67
2024-11-01,14:30,November,Winter,Flat,77,274.9,31.47,38.34,79.1,0.41,63.28,0.34,21.79,0.67
2024-11-01,14:45,November,Winter,Flat,77,274.9,31.47,38.34,79.1,0.41,63.28,0.34,21.79,0.67
2024-11-01,15:00,November,Winter,Flat,77,168.02,31.01,35.21,80.09,0.25,64.08,0.21,13.44,0.67
2024-11-01,15:15,November,Winter,Flat,77,168.02,31.01,35.21,80.09,0.25,64.08,0.21,13.44,0.67
2024-11-01,15:30,November,Winter,Flat,77,168.02,31.01,35.21,80.09,0.25,64.08,0.21,13.44,0.67
2024-11-01,15:45,November,Winter,Flat,77,168.02,31.01,35.21,80.09,0.25,64.08,0.21,13.44,0.67
2024-11-01,16:00,November,Winter,Flat,77,67.97,30.2,31.9,81.14,0.1,64.91,0.08,5.49,0.67
2024-11-01,16:15,November,Winter,Flat,77,67.97,30.2,31.9,81.14,0.1,64.91,0.08,5.49,0.67
2024-11-01,16:30,November,Winter,Flat,77,67.97,30.2,31.9,81.14,0.1,64.91,0.08,5.49,0.67
2024-11-01,16:45,November,Winter,Flat,77,67.97,30.2,31.9,81.14,0.1,64.91,0.08,5.49,0.67
2024-11-02,06:00,November,Winter,Flat,77,80.5,25.22,27.23,82.62,0.12,66.1,0.1,6.59,0.67
2024-11-02,06:15,November,Winter,Flat,77,80.5,25.22,27.23,82.62,0.12,66.1,0.1,6.59,0.67
2024-11-02,06:30,November,Winter,Flat,77,80.5,25.22,27.23,82.62,0.12,66.1,0.1,6.59,0.67
2024-11-02,06:45,November,Winter,Flat,77,80.5,25.22,27.23,82.62,0.12,66.1,0.1,6.59,0.67
2024-11-02,07:00,November,Winter,Flat,77,243.15,25.91,31.99,81.12,0.36,64.89,0.3,19.64,0.67
2024-11-02,07:15,November,Winter,Flat,77,243.15,25.91,31.99,81.12,0.36,64.89,0.3,19.64,0.67
2024-11-02,07:30,November,Winter,Flat,77,243.15,25.91,31.99,81.12,0.36,64.89,0.3,19.64,0.67
2024-11-02,07:45,November,Winter,Flat,77,243.15,25.91,31.99,81.12,0.36,64.89,0.3,19.64,0.67
2024-11-02,08:00,November,Winter,Flat,77,453.23,26.7,38.03,79.2,0.68,63.36,0.57,35.96,0.67
2024-11-02,08:15,November,Winter,Flat,77,453.23,26.7,38.03,79.2,0.68,63.36,0.57,35.96,0.67
2024-11-02,08:30,November,Winter,Flat,77,453.23,26.7,38.03,79.2,0.68,63.36,0.57,35.96,0.67
2024-11-02,08:45,November,Winter,Flat,77,453.23,26.7,38.03,79.2,0.68,63.36,0.57,35.96,0.67
2024-11-02,09:00,November,Winter,Flat,77,571.33,27.35,41.63,78.06,0.86,62.45,0.72,44.84,0.67
2024-11-02,09:15,November,Winter,Flat,77,571.33,27.35,41.63,78.06,0.86,62.45,0.72,44.84,0.67
2024-11-02,09:30,November,Winter,Flat,77,571.33,27.35,41.63,78.06,0.86,62.45,0.72,44.84,0.67
